Well,SampleIndex/'Well',PetID,PetName,Origin,CollectionDate,VialID,SampleType,LabelColor,Symptomatic,ExtractDate,TotalDNA,TotalRNA,LibraryPrepStartDate,SubmittedForSequencingDate,SentToCornellDate,AdoptedDate,Notes1,Notes2,Notes3
,,195325,Corvette,Fresno,10/18/16,SMB-1610-80,rectal,blue,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,
,,195322,Jaguar,Fresno,10/18/16,SMB-1610-82,rectal,blue,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,
,,195320,Pip,Fresno,10/18/16,SMB-1610-83,rectal,blue,N,,,,,,,23/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195334,Ellie,Fresno,10/18/16,SMB-1610-84,rectal,blue,N,,,,,,,21/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195317,Beaux,Fresno,10/18/16,SMB-1610-85,rectal,blue,N,,,,,,,21/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195330,Ashley,Fresno,10/18/16,SMB-1610-86,rectal,blue,N,,,,,,,22/10/16,,,
,,195331,Mary Kate,Fresno,10/18/16,SMB-1610-87,rectal,blue,N,,,,,,,22/10/16,,,
,,195310,Griffith,Fresno,10/18/16,SMB-1610-88,rectal,blue,N,,,,,,,22/10/16,,,
,,195319,Squeak,Fresno,10/18/16,SMB-1610-90,rectal,blue,N,,,,,,,28/10/16,,,
,,195313,Juanito,Fresno,10/18/16,SMB-1610-91,rectal,blue,N,,,,,,,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,"sent to CGRB December 9, 2016"
,,195315,Chiquita,Fresno,10/18/16,SMB-1610-92,rectal,blue,N,,,,,,,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,extra sample for CGRB-used week of DECEMBER 12 2016
,,195318,Flower,Fresno,10/18/16,SMB-1610-93,rectal,blue,N,,,,,,,22/10/16,,Adopted as of 25/10/16,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195314,Pepe/MJ,Fresno,10/18/16,SMB-1610-94,rectal,blue,N,,,,,,,22/10/16,litter B (mom unknown); new /adoptive name is MJ,Adopted as of 25/10/16,
,,195316,Bonita,Fresno,10/18/16,SMB-1610-95,rectal,blue,N,,,,,,,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,
,,195359,Stitch,Madera,10/18/16,SMB-1610-96,rectal,blue,N,,,,,,,23/10/16,,Adopted as of 25/10/16,extracted and destroyed by Ben Jan 4 
,,195354,Kaine,Madera,10/18/16,SMB-1610-98,rectal,blue,N,,,,,,,21/10/16,,,
,,195333,Monte,Fresno,10/18/16,SMB-1610-99,rectal,blue,N,,,,,,,21/10/16,,,
,,195348,Mort/Kobe,Madera,10/18/16,SMB-1610-100,rectal,blue,N,,,,,,,21/10/16,,,
,,195351,Abigail1,Madera,10/18/16,SMB-1610-101,rectal,blue,N,,,,,,,22/10/16,See Abigail 2: 195669,,
,,195332,Baxter,Fresno,10/18/16,SMB-1610-102,rectal,blue,N,,,,,,,23/10/16,,,
,,195347,Roscoe/Shasta,Madera,10/18/16,SMB-1610-103,rectal,blue,N,,,,,,,,,DUFR,
,,195346,Vera,Madera,10/18/16,SMB-1610-104,rectal,blue,N,,,,,,,29/10/16,,,
,,195357,Miracle,Madera,10/18/16,SMB-1610-105,rectal,blue,N,,,,,,,22/10/16,,,
,,195356,Michelle,Madera,10/18/16,SMB-1610-106,rectal,blue,N,,,,,,,26/10/16,,Adopted as of 28/10/16,
,,195350,Lil Guy,Madera,10/18/16,SMB-1610-107,rectal,blue,N,,,,,,,22/10/16,,,
,,195353,Blue/Osborne,Madera,10/18/16,SMB-1610-108,rectal,blue,N,,,,,,,,,Same number for Blue/Osborne? Same dog?? Also see 195360; Adopted as of 25/10/16,
,,195360,Osborne,Madera,10/18/16,SMB-1610-109,rectal,blue,N,,,,,,,,,Adopted as of 28/10/16,
,,195321,Cadillac,Fresno,10/18/16,SMB-1610-110,rectal,blue,N,,,,,,,22/10/16,,Adopted as of 25/10/16,
,,195311,Penn,Fresno,10/18/16,SMB-1610-111,rectal,blue,N,,,,,,,22/10/16,,,
,,195349,Tiny,Madera,10/18/16,SMB-1610-112,rectal,blue,N,,,,,,,,,,
,,195358,Dunkin/Duncan,Madera,10/18/16,SMB-1610-113,rectal,blue,N,,,,,,,21/10/16,,Adopted as of 25/10/16,
,,195309,Freddy,Fresno,10/18/16,SMB-1610-114,rectal,blue,N,,,,,,,23/10/16,,,
,,195355,Moose,Madera,10/18/16,SMB-1610-115,rectal,blue,N,,,,,,,,,Under vet care 25/10/16; 01/11/16,
,,195312,Teller,Fresno,10/18/16,SMB-1610-116,rectal,blue,N,,,,,,,22/10/16,,,
,,195350,Lil Guy,OHS?,10/21/16,SMB-1610-117,rectal,blue,N,,,,,,,22/10/16,same kennel,,
,,195348,Mort/Kobe,OHS?,10/21/16,SMB-1610-118,rectal,blue,N,,,,,,,21/10/16,same kennel,,
,,195332,Baxter,OHS?,10/21/16,SMB-1610-119,rectal,blue,N,,,,,,,23/10/16,,,
,,195357,Miracle,OHS?,10/21/16,SMB-1610-120,rectal,blue,N,,,,,,,22/10/16,,,
,,195312,Teller,OHS?,10/21/16,SMB-1610-121,rectal,blue,N,,,,,,,22/10/16,,,
,,195356,Michelle,OHS?,10/21/16,SMB-1610-122,rectal,blue,N,,,,,,,26/10/16,,Adopted as of 28/10/16,
,,195351,Abigail1,OHS?,10/21/16,SMB-1610-123,rectal,blue,N,,,,,,,22/10/16,See Abigail 2: 195669,,
,,195333,Monte,OHS?,10/21/16,SMB-1610-124,rectal,blue,N,,,,,,,21/10/16,,,
,,195354,Kaine,OHS?,10/21/16,SMB-1610-125,rectal,blue,N,,,,,,,21/10/16,,,
,,195349,Tiny,OHS,10/21/16,SMB-1610-126,rectal,blue,N,,,,,,,,,,
,,195309,Freddy,OHS?,10/21/16,SMB-1610-127,rectal,blue,N,,,,,,,23/10/16,,,
,,195310,Griffith,OHS?,10/21/16,SMB-1610-128,rectal,blue,N,,,,,,,22/10/16,,,
,,,Ben,OHS,10/28/16,SMB-1610-176,control,green,N,,,,,,,,Ben airdog,,
,,,Liz,OHS,10/28/16,SMB-1610-178,control,green,N,,,,,,,,Liz airdog,,
,,,,OHS?,10/25/16,SMB-1610-223,nasal,orange,N,,,,,,,,tossed?,,
,,195654,Billy,Sacramento,10/25/16,SMB-1610-232,nasal,orange,N,,,,,,,28/10/16,,,extracted and destroyed by Ben Jan 4 
,,195655,Maddison,Sacramento,10/25/16,SMB-1610-233,nasal,orange,N,,,,,,,28/10/16,,Adopted as of 28/10/16,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195652,Pumpkin,Sacramento,10/25/16,SMB-1610-235,nasal,orange,N,,,,,,,28/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195662,Ezra,Merced,10/25/16,SMB-1610-255,nasal,orange,N,,,,,,,28/10/16,,,used for resp panel and extracted on Feb 1 2017
,,195661,Julian/Julie,OHS?,10/28/16,SMB-1610-269,nasal,orange,Y,,,,,,,31/10/16,Kennel cough,,
,,195660,Buster,OHS?,10/28/16,SMB-1610-270,nasal,orange,Y,,,,,,,,Kennel cough,No pics of medical board on 10/28 but probably still has KC,
,,195636,Lyza,OHS?,10/28/16,SMB-1610-271,nasal,orange,N,,,,,,,,,,
,,195653,Harry,OHS?,10/28/16,SMB-1610-272,nasal,orange,N,,,,,,,29/10/16,,,
,,195651,Chico,OHS?,10/28/16,SMB-1610-273,nasal,orange,Y,,,,,,,31/10/16,Kennel cough; being treated for ear infection,,
,,195664,Nico/Dusty,OHS?,10/28/16,SMB-1610-274,nasal,orange,N,,,,,,,28/10/16,,,
,,195659,Kirstie Alley,OHS?,10/28/16,SMB-1610-275,nasal,orange,N,,,,,,,29/10/16,,,
,,195662,Ezra,OHS?,10/28/16,SMB-1610-276,nasal,orange,Y,,,,,,,28/10/16,Kennel cough,,used for resp panel and extracted on Feb 1 2017
,,195649,Wylie,OHS?,10/28/16,SMB-1610-285,nasal,orange,N,,,,,,,28/10/16,,,
,,195319,Squeak,OHS?,10/28/16,SMB-1610-286,nasal,orange,N,,,,,,,28/10/16,Being treated for infection,,
,,195349,Tiny,OHS,10/28/16,SMB-1610-287,nasal,orange,Y,,,,,,,,"No documentation, but probably still has KC",,
,,195346,Vera,OHS?,10/28/16,SMB-1610-288,nasal,orange,N,,,,,,,29/10/16,,,
,,195347,Roscoe/Shasta,OHS,10/25/16,SMB-1610-289,rectal,blue,Y,,,,,,,,Kennel cough,"DUFR; being treated for skin/ears 10/25, 11/1",
,,195346,Vera,OHS?,10/25/16,SMB-1610-290,rectal,blue,N,,,,,,,29/10/16,,,
,,195654,Billy,Sacramento,10/25/16,SMB-1610-296,rectal,blue,N,,,,,,,28/10/16,,,extracted and destroyed by Ben Jan 4 
,,195655,Maddison,Sacramento,10/25/16,SMB-1610-297,rectal,blue,N,,,,,,,28/10/16,,Adopted as of 28/10/16,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195652,Pumpkin,Sacramento,10/25/16,SMB-1610-298,rectal,blue,N,,,,,,,28/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195668,Carla/Calla,Merced,10/25/16,SMB-1610-299,rectal,blue,N,,,,,,,,,,
,,195635,Sally,Oakland,10/25/16,SMB-1610-300,rectal,blue,Y,,,,,,,,coughing,,
,,195650,Ida Mae,Sacramento,10/25/16,SMB-1610-301,rectal,blue,N,,,,,,,29/10/16,,,
,,195646,Quiggly,Hayward,10/25/16,SMB-1610-302,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195670,Kendrick,Merced,10/25/16,SMB-1610-303,rectal,blue,N,,,,,,,28/10/16,,,
,,195667,Emile,Merced,10/25/16,SMB-1610-304,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195631,Bruce,Oakland,10/25/16,SMB-1610-305,rectal,blue,N,,,,,,,28/10/16,,,use for next extraction?
,,195649,Wylie,Hayward,10/25/16,SMB-1610-306,rectal,blue,N,,,,,,,28/10/16,,,
,,195632,Clint,Oakland,10/25/16,SMB-1610-307,rectal,blue,N,,,,,,,27/10/16,,Adopted as of 28/10/16,
,,195659,Kirstie Alley,Merced,10/25/16,SMB-1610-308,rectal,blue,N,,,,,,,29/10/16,,,
,,195637,KoKo,Oakland,10/25/16,SMB-1610-309,rectal,blue,N,,,,,,,,,Adopted as of 28/10/16,
,,195666,Ingrid,Merced,10/25/16,SMB-1610-310,rectal,blue,N,,,,,,,27/10/16,,Adopted as of 28/10/16,
,,195671,Andre/Rocky,Merced,10/25/16,SMB-1610-311,rectal,blue,N,,,,,,,28/10/16,,Adopted as of 28/10/16,
,,195653,Harry,Sacramento,10/25/16,SMB-1610-312,rectal,blue,N,,,,,,,29/10/16,,,
,,195661,Julian/Julie,Merced,10/25/16,SMB-1610-313,rectal,blue,N,,,,,,,31/10/16,,,
,,195663,Malik,Merced,10/25/16,SMB-1610-314,rectal,blue,N,,,,,,,30/10/16,,,
,,195672,Dixie,Merced,10/25/16,SMB-1610-315,rectal,blue,N,,,,,,,29/10/16,,,
,,195633,,Oakland,10/25/16,SMB-1610-316,rectal,blue,N,,,,,,,,,Adopted as of 28/10/16,
,,195664,Nico/Dusty,Merced,10/25/16,SMB-1610-317,rectal,blue,N,,,,,,,28/10/16,,,
,,195662,Ezra,Merced,10/25/16,SMB-1610-318,rectal,blue,N,,,,,,,28/10/16,,,
,,195629,Adam,Oakland,10/25/16,SMB-1610-319,rectal,blue,N,,,,,,,30/10/16,,,
,,195651,Chico,Sacramento,10/25/16,SMB-1610-320,rectal,blue,N,,,,,,,31/10/16,,,
,,195673,Victoria,Merced,10/25/16,SMB-1610-321,rectal,blue,N,,,,,,,30/10/16,,,
,,195630,Lace/Lance,Oakland,10/25/16,SMB-1610-322,rectal,blue,Y,,,,,,,30/10/16,sneezing,,
,,195669,Abigail2,Merced,10/25/16,SMB-1610-323,rectal,blue,N,,,,,,,29/10/16,See Abigail 1: 195351,,
,,195636,Lyza,Oakland,10/25/16,SMB-1610-324,rectal,blue,N,,,,,,,,,,
,,195634,Nala,Oakland,10/25/16,SMB-1610-325,rectal,blue,Y,,,,,,,30/10/16,sneezing,,
,,195660,Buster,Merced,10/25/16,SMB-1610-326,rectal,blue,Y,,,,,,,,Kennel cough,"No documentation on board, but may have arrived with KC",
,,195648,Guapa,Hayward,10/25/16,SMB-1610-327,rectal,blue,N,,,,,,,,,,
,,195656,Freda,Sacramento,10/25/16,SMB-1610-328,rectal,blue,N,,,,,,,,,,
,,195346,Vera,OHS?,10/28/16,SMB-1610-329,rectal,blue,N,,,,,,,29/10/16,,,
,,195349,Tiny,OHS,10/28/16,SMB-1610-330,rectal,blue,Y,,,,,,,,"No documentation, but probably still has KC",,
,,195319,Squeak,OHS?,10/28/16,SMB-1610-331,rectal,blue,N,,,,,,,28/10/16,Being treated for infection,,
,,195649,Wylie,OHS?,10/28/16,SMB-1610-332,rectal,blue,N,,,,,,,28/10/16,,,
,,195669,Abigail2,OHS?,10/28/16,SMB-1610-338,rectal,blue,N,,,,,,,29/10/16,See Abigail 1: 195351,,
,,195650,Ida Mae,OHS?,10/28/16,SMB-1610-339,rectal,blue,N,,,,,,,29/10/16,,,
,,195672,Dixie,OHS?,10/28/16,SMB-1610-340,rectal,blue,N,,,,,,,29/10/16,,,
,,195662,Ezra,OHS?,10/28/16,SMB-1610-341,rectal,blue,Y,,,,,,,28/10/16,Kennel cough,,
,,195659,Kirstie Alley,OHS?,10/28/16,SMB-1610-342,rectal,blue,N,,,,,,,29/10/16,,,
,,195664,Nico/Dusty,OHS?,10/28/16,SMB-1610-343,rectal,blue,N,,,,,,,28/10/16,,,
,,195651,Chico,OHS?,10/28/16,SMB-1610-344,rectal,blue,Y,,,,,,,31/10/16,Kennel cough; being treated for ear infection,,
,,195653,Harry,OHS?,10/28/16,SMB-1610-345,rectal,blue,N,,,,,,,29/10/16,,,
,,195636,Lyza,OHS?,10/28/16,SMB-1610-346,rectal,blue,N,,,,,,,,,,
,,195660,Buster,OHS?,10/28/16,SMB-1610-347,rectal,blue,Y,,,,,,,,Kennel cough,No pics of medical board on 10/28 but probably still has KC,
,,195661,Julian/Julie,OHS?,10/28/16,SMB-1610-348,rectal,blue,Y,,,,,,,31/10/16,Kennel cough,,
,,194753,Maximillion/Max,OHS,1/11/16,SMB-1610-361,nasal,orange,N,,,,,,,,"Under obs for diarrhea 10/21, 10/25, 11/1; KC: 10/18, 10/21",Is this really Maximillion? Info in Notes and Resp Infection columns pertains to Max in kennel 4 not Max in kennel 23,used for resp panel and extracted on Feb 1 2017
,,194753,Maximillion/Max,OHS,1/11/16,SMB-1610-433,rectal,blue,N,,,,,,,,"Under obs for diarrhea 10/21, 10/25, 11/1; KC: 10/18, 10/21",Is this really Maximillion? Info in Notes and Resp Infection columns pertains to Max in kennel 4 not Max in kennel 23,
,,195349,Tiny,OHS,1/11/16,SMB-1610-434,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195360,Osborne,OHS,1/11/16,SMB-1610-435,rectal,blue,N,,,,,,,,,,
,,195635,Sally,OHS,1/11/16,SMB-1610-436,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195636,Lyza,OHS,1/11/16,SMB-1610-437,rectal,blue,N,,,,,,,,,,
,,195637,KoKo,OHS,1/11/16,SMB-1610-438,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195646,Quiggly,OHS,1/11/16,SMB-1610-439,rectal,blue,Y,,,,,,,,Kennel cough,,
,,195648,Guapa,OHS,1/11/16,SMB-1610-440,rectal,blue,N,,,,,,,,Being treated for P.O.,,
,,195656,Freda,OHS,1/11/16,SMB-1610-441,rectal,blue,N,,,,,,,,,,
,,195660,Buster,OHS,1/11/16,SMB-1610-442,rectal,blue,Y,,,,,,,,Kennel cough,Being treated for KC (meds),
,,195667,Emile,OHS,1/11/16,SMB-1610-443,rectal,blue,Y,,,,,,,,Kennel cough,Being treated for eyes,
,,195668,Carla/Calla,OHS,1/11/16,SMB-1610-444,rectal,blue,N,,,,,,,,,,
